absences,n_agama,n_pkn,n_bindo,n_mat,n_bing,n_por,n_bjawa,n_kejuruan,n_sikap,organization,extracurricular,origin_jhs,parent_status,final_score,rata_rata_nilai,gender_0,gender_1,address_0,address_1,father_edu_3,father_edu_4,father_edu_5,father_edu_6,father_work_0,father_work_1,father_work_2,father_work_3,father_work_4,father_work_5,father_work_6,father_work_7,father_work_8,father_work_9,father_work_10,father_work_11,father_salary_2,mother_edu_3,mother_edu_4,mother_edu_5,mother_edu_6,mother_edu_7,mother_work_0,mother_work_1,mother_work_2,mother_work_3,mother_work_4,mother_work_5,mother_work_6,mother_work_7,mother_work_8,mother_work_9,mother_work_10,mother_work_11,mother_work_12,mother_salary_2,scholarship_0,scholarship_1,family_size_3,family_size_4,family_size_5,family_size_6,family_size_7,family_size_8,family_size_9,family_size_10,family_size_12,house_status_0,house_status_1,house_status_2
1.0462679669363757,83,81,86,85,87,82,84,88,84.5,0,0,0,1,1,84.5,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False
-1.319928544814054,82,82,82,80,82,85,89,86,83.5,0,0,0,1,1,83.5,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False
-0.7283794168764467,84,82,81,79,82,87,89,86,83.75,0,0,0,1,1,83.75,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True
1.6378170948739832,83,83,83,81,83,82,86,86,83.375,0,0,1,1,1,83.375,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True
-1.319928544814054,83,84,85,84,88,82,86,85,84.625,0,0,0,1,1,84.625,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False
1.6378170948739832,76,79,80,77,82,78,83,83,79.75,1,0,1,1,1,79.0,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
-0.7283794168764467,88,83,82,82,85,82,86,88,84.5,0,0,0,1,1,84.5,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
0.4547188389987682,81,81,84,82,83,83,84,87,83.125,0,0,0,1,1,83.125,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True
0.4547188389987682,75,79,79,76,75,78,79,83,78.0,0,0,1,0,1,76.875,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False
0.4547188389987682,82,81,78,83,83,89,88,87,83.875,0,0,0,1,1,83.875,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True
1.6378170948739832,85,82,85,82,82,84,84,86,83.75,0,0,0,1,1,83.75,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False
-0.7283794168764467,86,83,82,79,87,83,85,87,84.0,0,0,0,1,1,84.0,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True
-0.1368302889388392,84,83,84,79,80,78,85,85,82.25,0,0,1,1,1,81.875,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True
1.0462679669363757,81,83,83,82,83,83,86,85,83.25,0,0,1,1,1,83.25,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True
